v8-version,5,1,281,88,0
code-creation,Handler,4,0x3d2d2ea298c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea29940,204,"BinaryOpICStub"
code-creation,Stub,3,0x3d2d2ea29a20,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x3d2d2ea29aa0,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3d2d2ea29e80,463,"FastNewContextStub"
code-creation,Handler,4,0x3d2d2ea2a060,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea2a0e0,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea2a1e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea2a260,2388,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea2abc0,1187,"FastNewContextStub"
code-creation,Stub,15,0x3d2d2ea2b080,447,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea2b240,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea2b2c0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea2b3a0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea2b420,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3d2d2ea2b800,2205,"FastArrayPushStub"
code-creation,Stub,3,0x3d2d2ea2c0a0,2360,"RecordWriteStub"
code-creation,Handler,4,0x3d2d2ea2c9e0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea2ca60,743,"FastNewContextStub"
code-creation,Handler,4,0x3d2d2ea2cd60,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea2ce60,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea2cee0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3d2d2ea2cf60,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3d2d2ea2d060,483,"FastNewObjectStub"
code-creation,Handler,4,0x3d2d2ea2d260,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea2d2e0,212,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea2d3c0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea2d440,332,"BinaryOpICStub"
code-creation,Stub,16,0x3d2d2ea2d5a0,194,"CompareICStub"
code-creation,Stub,3,0x3d2d2ea2d680,391,"FastNewContextStub"
code-creation,Stub,3,0x3d2d2ea2d820,652,"TypeofStub"
code-creation,Stub,15,0x3d2d2ea2dac0,284,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2dbe0,212,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2dcc0,320,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2de00,224,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2dee0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2df80,224,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2e060,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x3d2d2ea2e180,528,"A store IC from the snapshot"
code-creation,Stub,15,0x3d2d2ea2e3a0,204,"BinaryOpICStub"
code-creation,Handler,4,0x3d2d2ea2e480,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3d2d2ea2e500,467,"BinaryOpICStub"
code-creation,Stub,15,0x3d2d2ea2e6e0,224,"BinaryOpICStub"
